Designator,Package,Quantity,Value,LCSC Part Number
X1,5032 4 pin,1,16MHz,C242216 
"RDM1,RDP1",0805,2,22R,
D1-54,DOS-123,54,1N4148,C261233
U3,QPF-44,1,ATMEGA32U4,C44854
U2,SOT-23-6,1,USBLC6-2SC6,C323793
SW_RST1,,1,K2-1187SQ-A4SW-06,C92584 
RSH1,0805,1,1M,
RRST2,0805,1,330R,
RRST1,0805,1,4.7k,
"RHWB1,RF1",0805,2,10k,
J1,Mini B USB,1,Hirose UX60-MB-5S8,
F1,1812,1,1.5A trip,
DF1,SOD-123,1,RB060M-60TR,C114257
"CX2,CX1",0805,2,8.2pF,
"CUSB1,CSH1,CRST1,CB2-6",0805,8,100nF,
"CU1, CB1, CF1",0805,3,1uF,
